productname,price
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹22,999"
"OnePlus 8T 5G (Lunar Silver 12GB RAM, 256GB Storage)","₹45,999"
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","₹12,499"
"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","₹15,999"
"Samsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹7,499"
"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)","₹15,999"
"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹12,499"
"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","₹5,999"
"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹17,999"
"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)","₹22,999"
"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","₹24,999"
"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)","₹17,999"
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","₹9,999"
"Samsung Galaxy M02s (Blue,4GB RAM, 64GB Storage)","₹14,499"
"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)","₹19,999"
"Samsung Galaxy M31s (Mirage Blue, 8GB RAM, 128GB Storage)","₹15,999"
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","₹4,999"
"Samsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers","₹17,499"
